src/features/editor/plugins/imageView.ts:503	prose	Remote images are blocked.
src/features/editor/plugins/imageView.ts:506	prose	Unsupported image format.
src/features/editor/plugins/imageView.ts:509	prose	Unsupported image target.
src/features/editor/plugins/imageView.ts:512	prose	Invalid image path.
src/features/editor/plugins/imageView.ts:515	prose	Image access denied.
src/features/editor/plugins/imageView.ts:518	prose	Image metadata unavailable.
src/features/editor/utils/documentStatus.ts:142	prose	Task list
src/features/editor/utils/documentStatus.ts:145	prose	Ordered list
src/features/editor/utils/documentStatus.ts:145	prose	Unordered list
src/features/editor/utils/documentStatus.ts:168	template	Code block · {}
src/features/editor/utils/documentStatus.ts:168	prose	Code block
src/features/editor/utils/documentStatus.ts:175	prose	Footnote definition
src/features/editor/utils/documentStatus.ts:180	prose	Reference definition
src/features/editor/utils/linkActivation.ts:41	prop:title	Open local file?
src/features/editor/utils/linkActivation.ts:42	prose	Open this local file with the system default app?
src/features/editor/utils/linkActivation.ts:44	prop:confirmLabel	Open file
src/features/editor/utils/linkActivation.ts:45	prop:cancelLabel	Cancel
src/features/editor/utils/linkActivation.ts:50	prop:title	Open outside folder?
src/features/editor/utils/linkActivation.ts:51	prose	Open this Markdown file outside the current folder?
src/features/editor/utils/linkActivation.ts:53	prop:confirmLabel	Open file
src/features/editor/utils/linkActivation.ts:54	prop:cancelLabel	Cancel
src/features/editor/utils/linkActivation.ts:62	prose	Could not open web link.
src/features/editor/utils/linkActivation.ts:80	prose	Could not open local link.
src/features/editor/utils/linkActivation.ts:116	prose	Link target not found.
src/features/editor/utils/linkActivation.ts:120	prose	Save the document to resolve this link.
src/features/editor/utils/linkActivation.ts:124	prose	Unsupported link target.
src/features/editor/utils/linkActivation.ts:128	prose	Invalid link path.
src/features/editor/utils/linkActivation.ts:132	prose	Link access denied.
src/features/editor/utils/linkActivation.ts:136	prose	Link target metadata unavailable.
src/features/editor/utils/linkActivation.ts:151	prose	Link target is outside the current folder.
src/features/editor/utils/linkActivation.ts:171	prose	Could not resolve link.
src/features/editor/utils/remoteImageErrors.ts:18	prose	Image could not be loaded.
src/features/editor/utils/remoteImageErrors.ts:30	prose	Image address is not allowed.
src/features/editor/utils/remoteImageErrors.ts:33	prose	Only HTTPS images can load.
src/features/editor/utils/remoteImageErrors.ts:36	prose	Local and private network addresses are blocked.
src/features/editor/utils/remoteImageErrors.ts:39	prose	Image redirected to an insecure address.
src/features/editor/utils/remoteImageErrors.ts:42	prose	Image redirected too many times.
src/features/editor/utils/remoteImageErrors.ts:45	template	Image request failed (HTTP {}).
src/features/editor/utils/remoteImageErrors.ts:48	prose	Image is larger than 10 MB.
src/features/editor/utils/remoteImageErrors.ts:51	prose	Unsupported remote image format.
src/features/editor/utils/remoteImageErrors.ts:54	prose	Image request timed out.
src/features/editor/utils/remoteImageErrors.ts:57	prose	Image could not be downloaded.
src/features/folder-context/components/article-navigator.tsx:153	prose	No supported Markdown files found in scanned entries.
src/features/folder-context/components/article-navigator.tsx:154	prose	No supported Markdown files found.
src/features/folder-context/components/article-navigator.tsx:317	prose	No matching articles.
src/features/folder-context/components/article-navigator.tsx:317	prose	No visible folder entries.
src/features/folder-context/components/article-navigator.tsx:351	attr:aria-label	Filter articles
src/features/folder-context/components/article-navigator.tsx:354	attr:placeholder	Filter…
src/features/folder-context/components/article-navigator.tsx:364	attr:aria-label	Clear article filter
src/features/folder-context/components/article-navigator.tsx:398	jsx-text	Open
src/features/folder-context/components/article-navigator.tsx:406	jsx-text	New file
src/features/folder-context/components/article-navigator.tsx:407	jsx-text	New folder
src/features/folder-context/components/article-navigator.tsx:415	jsx-text	Rename
src/features/folder-context/components/article-navigator.tsx:418	jsx-text	Delete
src/features/folder-context/components/article-navigator.tsx:427	prose	Open file location
src/features/folder-context/components/article-navigator.tsx:427	prose	Open folder location
src/features/folder-context/components/article-navigator.tsx:429	jsx-text	Copy path
src/features/folder-context/components/article-navigator.tsx:432	jsx-text	Copy relative path
src/features/folder-context/components/article-navigator.tsx:451	prose	File actions
src/features/folder-context/components/article-navigator.tsx:453	prose	Folder actions
src/features/folder-context/components/article-navigator.tsx:454	prose	Folder context actions
src/features/folder-context/components/article-navigator.tsx:461	jsx-text	Current document is outside this folder context.
src/features/folder-context/components/article-navigator.tsx:473	jsx-text	Some folder entries could not be scanned.
src/features/folder-context/components/article-navigator.tsx:491	template	{} issues found.
src/features/folder-context/components/article-navigator.tsx:699	attr:aria-label	Articles
src/features/folder-context/components/article-navigator.tsx:836	prose	New file
src/features/folder-context/components/article-navigator.tsx:836	prose	New folder
src/features/folder-context/components/article-navigator.tsx:960	prose	File name
src/features/folder-context/components/article-navigator.tsx:960	prose	Folder name
src/features/folder-context/services/folderEntries.ts:22	prose	Recycle Bin
src/features/folder-context/utils/folderContextErrors.ts:26	prop:title	Could not scan folder.
src/features/folder-context/utils/folderContextErrors.ts:40	prop:title	Invalid folder path.
src/features/folder-context/utils/folderContextErrors.ts:45	prop:title	Folder not found.
src/features/folder-context/utils/folderContextErrors.ts:50	prop:title	Permission denied accessing folder.
src/features/folder-context/utils/folderContextErrors.ts:55	prop:title	Could not inspect folder.
src/features/folder-context/utils/folderContextErrors.ts:60	prop:title	Folder path is not a directory.
src/features/folder-context/utils/folderContextErrors.ts:65	prop:title	Could not read folder.
src/features/folder-context/utils/folderContextErrors.ts:79	prop:title	Could not open folder.
src/features/folder-context/utils/folderContextErrors.ts:110	prop:title	Could not watch folder.
src/features/folder-context/utils/folderContextErrors.ts:124	prop:title	Invalid folder path.
src/features/folder-context/utils/folderContextErrors.ts:129	prop:title	Folder not found.
src/features/folder-context/utils/folderContextErrors.ts:134	prop:title	Permission denied watching folder.
src/features/folder-context/utils/folderContextErrors.ts:139	prop:title	Could not inspect folder.
src/features/folder-context/utils/folderContextErrors.ts:144	prop:title	Folder path is not a directory.
src/features/folder-context/utils/folderContextErrors.ts:149	prop:title	Could not watch folder.
src/features/folder-context/utils/folderContextErrors.ts:154	prop:title	Could not watch folder.
src/features/folder-context/utils/folderContextErrors.ts:179	prose	Enter a name.
src/features/folder-context/utils/folderContextErrors.ts:180	prose	The name is reserved by the file system.
src/features/folder-context/utils/folderContextErrors.ts:181	prose	The name contains a character file names cannot hold.
src/features/folder-context/utils/folderContextErrors.ts:182	prose	The name cannot end with a period or space.
src/features/folder-context/utils/folderContextErrors.ts:193	prop:title	Invalid name.
src/features/folder-context/utils/folderContextErrors.ts:198	prop:title	Unsupported file type.
src/features/folder-context/utils/folderContextErrors.ts:199	prop:description	Use a .md or .markdown extension, or leave the extension out.
src/features/folder-context/utils/folderContextErrors.ts:203	prop:title	An item with that name already exists.
src/features/folder-context/utils/folderContextErrors.ts:208	prop:title	The item is not inside the current folder.
src/features/folder-context/utils/folderContextErrors.ts:213	prop:title	Invalid path.
src/features/folder-context/utils/folderContextErrors.ts:218	prop:title	The item no longer exists.
src/features/folder-context/utils/folderContextErrors.ts:223	prop:title	The target is not a folder.
